plat	Ord	type	First Neutral	CmpTerm	Second Neutral	Cost2ndNeutral	First Error	Cost1stError	Second Error	Cost2ndError	First Catch	Cost1stCatch	Second Catch	Cost2ndCatch	TotalCosts	IncCosts
Clang/x64	0	stripped.terminate	694821	0	694869	48	694887	18	694907	20	0	0	0	0	86	68
Clang/x64	1	stripped.return_val	694841	20	694896	55	694909	13	694928	19	694942	14	694962	20	141	94
Clang/x64	2	stripped.return_struct	694851	30	694926	75	694952	26	694977	25	694992	15	695013	21	192	121
Clang/x64	3	stripped.ref_val	694850	29	694917	67	694935	18	694956	21	694969	13	695001	32	180	120
Clang/x64	4	stripped.ref_struct	694857	36	694919	62	694959	40	695002	43	695027	25	695065	38	244	143
Clang/x64	5	stripped.expected_val	694862	41	694938	76	694955	17	694983	28	695001	18	695025	24	204	128
Clang/x64	6	stripped.expected_struct	694875	54	694958	83	695003	45	695050	47	695075	25	695101	26	280	156
Clang/x64	7	stripped.tls_error_val	694849	28	694925	76	694949	24	694976	27	695030	54	695079	49	258	152
Clang/x64	8	stripped.tls_error_struct	694850	29	694927	77	694973	46	695022	49	695085	63	695145	60	324	186
Clang/x64	9	terminate	752197	57376	752317	120	752335	18	752355	20	0	0	0	0	57534	140
Clang/x64	10	noexcept_terminate	752197	57376	752317	120	752335	18	752355	20	0	0	0	0	57534	140
Clang/x64	11	return_val	752225	57404	752360	135	752373	13	752392	19	752406	14	752434	28	57613	182
Clang/x64	12	return_struct	752243	57422	752406	163	752432	26	752457	25	752472	15	752501	29	57680	217
Clang/x64	13	ref_val	752234	57413	752389	155	752407	18	752428	21	752449	21	752489	40	57668	216
Clang/x64	14	ref_struct	752241	57420	752391	150	752431	40	752474	43	752499	25	752545	46	57724	239
Clang/x64	15	expected_val	752246	57425	752402	156	752419	17	752447	28	752465	18	752497	32	57676	216
Clang/x64	16	expected_struct	752259	57438	752422	163	752467	45	752514	47	752547	33	752581	34	57760	244
Clang/x64	17	tls_error_val	752225	57404	752373	148	752397	24	752424	27	752486	62	752535	49	57714	224
Clang/x64	18	tls_error_struct	752226	57405	752375	149	752421	46	752470	49	752541	71	752601	60	57780	258
Clang/x64	19	throw_val	1078984	384163	1079124	140	1079370	246	1079425	55	1079478	53	1079507	29	384686	224
Clang/x64	20	throw_struct	1078984	384163	1079124	140	1079231	107	1079308	77	1079361	53	1079390	29	384569	246
Clang/x64	21	throw_exception	1078984	384163	1079124	140	1079348	224	1079414	66	1079467	53	1079496	29	384675	235
GCC/x64	0	stripped.terminate	538833	0	538881	48	538902	21	538925	23	0	0	0	0	92	71
GCC/x64	1	stripped.return_val	538847	14	538909	62	538922	13	538941	19	538955	14	538969	14	136	95
GCC/x64	2	stripped.return_struct	538860	27	538935	75	538961	26	538986	25	539001	15	539016	15	183	115
GCC/x64	3	stripped.ref_val	538859	26	538923	64	538941	18	538962	21	538987	25	539004	17	171	102
GCC/x64	4	stripped.ref_struct	538867	34	538930	63	538957	27	538987	30	539021	34	539038	17	205	110
GCC/x64	5	stripped.expected_val	538910	77	539032	122	539061	29	539092	31	539114	22	539136	22	303	175
GCC/x64	6	stripped.expected_struct	538870	37	538952	82	538984	32	539018	34	539035	17	539052	17	219	133
GCC/x64	7	stripped.tls_error_val	538861	28	538937	76	538961	24	538988	27	539045	57	539098	53	265	156
GCC/x64	8	stripped.tls_error_struct	538862	29	538939	77	538977	38	539018	41	539086	68	539150	64	317	182
GCC/x64	9	terminate	581565	42732	581669	104	581690	21	581713	23	0	0	0	0	42880	127
GCC/x64	10	noexcept_terminate	581565	42732	581669	104	581690	21	581713	23	0	0	0	0	42880	127
GCC/x64	11	return_val	581579	42746	581697	118	581710	13	581729	19	581743	14	581757	14	42924	151
GCC/x64	12	return_struct	581592	42759	581723	131	581749	26	581774	25	581789	15	581804	15	42971	171
GCC/x64	13	ref_val	581599	42766	581727	128	581745	18	581766	21	581791	25	581808	17	42975	166
GCC/x64	14	ref_struct	581607	42774	581734	127	581761	27	581791	30	581825	34	581842	17	43009	174
GCC/x64	15	expected_val	581642	42809	581820	178	581849	29	581880	31	581902	22	581924	22	43091	231
GCC/x64	16	expected_struct	581610	42777	581756	146	581788	32	581822	34	581839	17	581856	17	43023	197
GCC/x64	17	tls_error_val	581593	42760	581725	132	581749	24	581776	27	581841	65	581894	53	43061	212
GCC/x64	18	tls_error_struct	581594	42761	581727	133	581765	38	581806	41	581882	76	581946	64	43113	238
GCC/x64	19	throw_val	641453	102620	641577	124	644657	3080	644706	49	644769	63	644803	34	105970	207
GCC/x64	20	throw_struct	641453	102620	641577	124	644323	2746	644381	58	644444	63	644478	34	105645	216
GCC/x64	21	throw_exception	641453	102620	641577	124	644510	2933	644570	60	644633	63	644667	34	105834	218
MSVC/x64	0	stripped.terminate	86505	0	86554	49	86575	21	86599	24	0	0	0	0	94	73
MSVC/x64	1	stripped.return_val	86515	10	86583	68	86596	13	86618	22	86637	19	86653	16	148	106
MSVC/x64	2	stripped.return_struct	86570	65	86689	119	86744	55	86807	63	86828	21	86853	25	348	207
MSVC/x64	3	stripped.ref_val	86533	28	86604	71	86623	19	86650	27	86675	25	86680	5	175	103
MSVC/x64	4	stripped.ref_struct	86535	30	86607	72	86641	34	86683	42	86710	27	86724	14	219	128
MSVC/x64	5	stripped.expected_val	86564	59	86677	113	86703	26	86737	34	86755	18	86774	19	269	166
MSVC/x64	6	stripped.expected_struct	86573	68	86695	122	86757	62	86827	70	86845	18	86864	19	359	211
MSVC/x64	7	stripped.tls_error_val	86725	220	86804	79	86848	44	86896	48	86937	41	86974	37	469	164
MSVC/x64	8	stripped.tls_error_struct	86973	468	87053	80	87113	60	87177	64	87225	48	87259	34	754	178
MSVC/x64	9	terminate	92893	6388	92954	61	92987	33	93023	36	0	0	0	0	6518	97
MSVC/x64	10	noexcept_terminate	92893	6388	92954	61	103474	10520	103575	101	0	0	0	0	17070	162
MSVC/x64	11	return_val	92903	6398	92983	80	92996	13	93018	22	93037	19	93053	16	6548	118
MSVC/x64	12	return_struct	92958	6453	93097	139	93164	67	93239	75	93260	21	93285	25	6780	239
MSVC/x64	13	ref_val	92921	6416	93004	83	93023	19	93050	27	93075	25	93080	5	6575	115
MSVC/x64	14	ref_struct	92923	6418	93007	84	93041	34	93083	42	93110	27	93124	14	6619	140
MSVC/x64	15	expected_val	92952	6447	93085	133	93111	26	93145	34	93163	18	93182	19	6677	186
MSVC/x64	16	expected_struct	92961	6456	93087	126	93161	74	93243	82	93261	18	93280	19	6775	227
MSVC/x64	17	tls_error_val	93113	6608	93204	91	93248	44	93296	48	93337	41	93374	37	6869	176
MSVC/x64	18	tls_error_struct	93405	6900	93497	92	93557	60	93621	64	93669	48	93703	34	7198	190
MSVC/x64	19	throw_val	103388	16883	103514	126	103692	178	103753	61	103927	174	103996	69	17491	256
MSVC/x64	20	throw_struct	103388	16883	103514	126	103758	244	103856	98	104030	174	104099	69	17594	293
MSVC/x64	21	throw_exception	103388	16883	103514	126	104628	1114	104696	68	104854	158	104923	69	18418	263
MSVC/x86	0	stripped.terminate	75031	0	75082	51	75099	17	75114	15	0	0	0	0	83	66
MSVC/x86	1	stripped.return_val	75036	5	75102	66	75118	16	75135	17	75153	18	75169	16	138	99
MSVC/x86	2	stripped.return_struct	75057	26	75131	74	75154	23	75176	22	75197	21	75213	16	182	112
MSVC/x86	3	stripped.ref_val	75060	29	75125	65	75148	23	75170	22	75195	25	75209	14	178	101
MSVC/x86	4	stripped.ref_struct	75070	39	75135	65	75165	30	75194	29	75227	33	75241	14	210	108
MSVC/x86	5	stripped.expected_val	75108	77	75225	117	75248	23	75273	25	75292	19	75309	17	278	159
MSVC/x86	6	stripped.expected_struct	75091	60	75191	100	75221	30	75253	32	75272	19	75289	17	258	149
MSVC/x86	7	stripped.tls_error_val	75227	196	75305	78	75343	38	75380	37	75424	44	75459	35	428	150
MSVC/x86	8	stripped.tls_error_struct	75528	497	75606	78	75670	64	75717	47	75771	54	75816	45	785	170
MSVC/x86	9	terminate	75031	0	75082	51	75099	17	75114	15	0	0	0	0	83	66
MSVC/x86	10	noexcept_terminate	75031	0	75082	51	81135	6053	81193	58	0	0	0	0	6162	109
MSVC/x86	11	return_val	75036	5	75102	66	75118	16	75135	17	75153	18	75169	16	138	99
MSVC/x86	12	return_struct	75057	26	75131	74	75154	23	75176	22	75197	21	75213	16	182	112
MSVC/x86	13	ref_val	75060	29	75125	65	75148	23	75170	22	75195	25	75209	14	178	101
MSVC/x86	14	ref_struct	75070	39	75135	65	75165	30	75194	29	75227	33	75241	14	210	108
MSVC/x86	15	expected_val	75108	77	75225	117	75248	23	75273	25	75292	19	75309	17	278	159
MSVC/x86	16	expected_struct	75091	60	75191	100	75221	30	75253	32	75272	19	75289	17	258	149
MSVC/x86	17	tls_error_val	75227	196	75305	78	75343	38	75380	37	75424	44	75459	35	428	150
MSVC/x86	18	tls_error_struct	75528	497	75606	78	75670	64	75717	47	75771	54	75816	45	785	170
MSVC/x86	19	throw_val	81084	6053	81229	145	81331	102	81365	34	81549	184	81613	64	6582	243
MSVC/x86	20	throw_struct	81084	6053	81229	145	81399	170	81455	56	81639	184	81703	64	6672	265
MSVC/x86	21	throw_exception	81084	6053	81229	145	82008	779	82051	43	82235	184	82299	64	7268	252
